Newsroom,Year,Female_Percent,Direction,Size of Change
The Village Daily Sun,2018,0.51,Increase,0.2
The Village Daily Sun,2001,0.31,Increase,0.2
The Courier Journal,2018,0.43,Increase,0.17
The Courier Journal,2001,0.26,Increase,0.17
The Cincinnati Enquirer,2018,0.45,Increase,0.15
The Cincinnati Enquirer,2001,0.3,Increase,0.15
Statesman Journal,2018,0.54,Increase,0.14
Statesman Journal,2001,0.4,Increase,0.14
The Palm Beach Post,2018,0.47,Increase,0.13
The Palm Beach Post,2001,0.34,Increase,0.13
The Washington Post,2018,0.52,Increase,0.13
The Washington Post,2001,0.39,Increase,0.13
Arizona Daily Caller,2018,0.49,Increase,0.11
Arizona Daily Caller,2001,0.38,Increase,0.11
Houston Chronicle,2018,0.39,Increase,0.1
Houston Chronicle,2001,0.29,Increase,0.1
The Herald-Times,2018,0.45,Increase,0.1
The Herald-Times,2001,0.35,Increase,0.1
Times Union,2018,0.41,Increase,0.08
Times Union,2001,0.33,Increase,0.08
Lansing State Journal,2018,0.45,Increase,0.08
Lansing State Journal,2001,0.37,Increase,0.08
The Wall Street,2018,0.47,Increase,0.08
The Wall Street,2001,0.39,Increase,0.08
Rochester Democrat and Chronicle,2018,0.43,Increase,0.08
Rochester Democrat and Chronicle,2001,0.35,Increase,0.08
Pittsburgh Post-Gazette,2018,0.37,Increase,0.08
Pittsburgh Post-Gazette,2001,0.29,Increase,0.08
The Tennessean,2018,0.5,Increase,0.07
The Tennessean,2001,0.43,Increase,0.07
Akron Beacon Journal,2018,0.45,Increase,0.07
Akron Beacon Journal,2001,0.38,Increase,0.07
Daily Press Media Group,2018,0.48,Increase,0.07
Daily Press Media Group,2001,0.41,Increase,0.07
Naples Daily News,2018,0.48,Increase,0.06
Naples Daily News,2001,0.42,Increase,0.06
The Clarion Ledger,2018,0.39,Increase,0.05
The Clarion Ledger,2001,0.34,Increase,0.05
Bangor Daily News,2018,0.49,Increase,0.05
Bangor Daily News,2001,0.44,Increase,0.05
The Sacramento Bee,2018,0.41,Increase,0.05
