Movie,Year,Show,Date,Category,Winner?,Nominee(s),Birthdate,Age,Image
The Last Command,1927-1928,1st Academy Awards,5/16/29,Best Actor,X,Emil Jannings,7/23/1884,44,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3NzYyNTQ1Nl5BMl5BanBnXkFtZTgwMjc4NjcwMzE@._V1_UY317_CR17,0,214,317_AL_.jpg"
The Way of All Flesh,1927-1928,1st Academy Awards,5/16/29,Best Actor,X,Emil Jannings,7/23/1884,44,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3NzYyNTQ1Nl5BMl5BanBnXkFtZTgwMjc4NjcwMzE@._V1_UY317_CR17,0,214,317_AL_.jpg"
The Noose,1927-1928,1st Academy Awards,5/16/29,Best Actor,,Richard Barthelmess,5/9/1895,34,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI0NDkzMTAyN15BMl5BanBnXkFtZTYwMjU2MzM2._V1_UY317_CR86,0,214,317_AL_.jpg"
The Patent Leather Kid,1927-1928,1st Academy Awards,5/16/29,Best Actor,,Richard Barthelmess,5/9/1895,34,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI0NDkzMTAyN15BMl5BanBnXkFtZTYwMjU2MzM2._V1_UY317_CR86,0,214,317_AL_.jpg"
7th Heaven,1927-1928,1st Academy Awards,5/16/29,Best Actress,,Janet Gaynor,10/6/06,22,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5MzE4Nzk0N15BMl5BanBnXkFtZTYwMjg0NzU2._V1_UY317_CR14,0,214,317_AL_.jpg"
Street Angel,1927-1928,1st Academy Awards,5/16/29,Best Actress,X,Janet Gaynor,10/6/06,22,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5MzE4Nzk0N15BMl5BanBnXkFtZTYwMjg0NzU2._V1_UY317_CR14,0,214,317_AL_.jpg"
Sunrise,1927-1928,1st Academy Awards,5/16/29,Best Actress,X,Janet Gaynor,10/6/06,22,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5MzE4Nzk0N15BMl5BanBnXkFtZTYwMjg0NzU2._V1_UY317_CR14,0,214,317_AL_.jpg"
A Ship Comes In,1927-1928,1st Academy Awards,5/16/29,Best Actress,,Louise Dresser,10/5/1878,50,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjM0ODAwMDk4N15BMl5BanBnXkFtZTgwNDEzODY3MTE@._V1_UY317_CR9,0,214,317_AL_.jpg"
Sadie Thompson,1927-1928,1st Academy Awards,5/16/29,Best Actress,,Gloria Swanson,3/27/1899,30,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3NzIxOTUwOV5BMl5BanBnXkFtZTYwNDM5MTI2._V1_UY317_CR4,0,214,317_AL_.jpg"
In Old Arizona,1928-1929,2nd Academy Awards,4/3/30,Best Actor,X,Warner Baxter,3/29/1889,41,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ3NTA0NDk0NV5BMl5BanBnXkFtZTYwMTUyNjU2._V1_UY317_CR7,0,214,317_AL_.jpg"
The Patriot,1928-1929,2nd Academy Awards,4/3/30,Best Actor,,Lewis Stone,11/15/1879,50,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEwMDQyMjIzMl5BMl5BanBnXkFtZTgwNzc3MTI1MzE@._V1._CR97,133,560,741_UY317_CR13,0,214,317_AL_.jpg"
The Valiant,1928-1929,2nd Academy Awards,4/3/30,Best Actor,,Paul Muni,9/22/1895,34,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5ODcxNTg4Nl5BMl5BanBnXkFtZTYwNzE2MjI2._V1_UY317_CR18,0,214,317_AL_.jpg"
Alibi,1928-1929,2nd Academy Awards,4/3/30,Best Actor,,Chester Morris,2/16/01,29,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4OTc3MzAyMl5BMl5BanBnXkFtZTYwMTkwMDY2._V1_UY317_CR8,0,214,317_AL_.jpg"
Thunderbolt,1928-1929,2nd Academy Awards,4/3/30,Best Actor,,George Bancroft,9/30/1882,47,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzMTAyNTA2N15BMl5BanBnXkFtZTgwMjUzMjE1MjE@._V1_UX214_CR0,0,214,317_AL_.jpg"
Coquette,1928-1929,2nd Academy Awards,4/3/30,Best Actress,X,Mary Pickford,4/8/1892,38,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxODkxOTExMl5BMl5BanBnXkFtZTgwMDIzNTQwMjE@._V1_UY317_CR17,0,214,317_AL_.jpg"
The Letter,1928-1929,2nd Academy Awards,4/3/30,Best Actress,,Jeanne Eagels,6/26/1890,39,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjI3MTYyMDA1OF5BMl5BanBnXkFtZTgwMzIyNjc3MTE@._V1._CR97.88333129882812,92.53334045410156,1143.183334350586,1493.8499908447266_UY317_CR14,0,214,317_AL_.jpg"
Madame X,1928-1929,2nd Academy Awards,4/3/30,Best Actress,,Ruth Chatterton,12/24/1892,37,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTA0Nzk3NDA4NjdeQTJeQWpwZ15BbWU2MDM0MTEzNg@@._V1_UY317_CR16,0,214,317_AL_.jpg"
The Divine Lady,1928-1929,2nd Academy Awards,4/3/30,Best Actress,,Corinne Griffith,11/21/1894,35,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwNjg0Mzg1OF5BMl5BanBnXkFtZTYwNTUxNjI2._V1_UY317_CR5,0,214,317_AL_.jpg"
The Barker,1928-1929,2nd Academy Awards,4/3/30,Best Actress,,Betty Compson,3/19/1897,33,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3NTYzMTQ1Nl5BMl5BanBnXkFtZTYwMjc1ODU2._V1_UY317_CR15,0,214,317_AL_.jpg"
The Broadway Melody,1928-1929,2nd Academy Awards,4/3/30,Best Actress,,Bessie Love,9/10/1898,31,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyMzIwMjU3MF5BMl5BanBnXkFtZTgwMTI0OTg0MzE@._V1._CR143,185,706,934_UY317_CR13,0,214,317_AL_.jpg"
