Aggregation Level,Date,Percent of Articles
Daily,7/26/15,0.071428571
Daily,10/27/16,0.160377358
Daily,12/2/16,0.18404908
Daily,9/10/15,0.179487179
Daily,10/9/15,0.285714286
Daily,11/10/16,0.122850123
Daily,5/7/16,0.236842105
Daily,11/15/15,0.285714286
Daily,4/21/16,0.111111111
Daily,1/31/16,0.166666667
Daily,7/15/16,0.412280702
Daily,7/17/15,0.176470588
Daily,10/18/16,0.141935484
Daily,8/2/15,0.333333333
Daily,1/3/17,0.511235955
Daily,6/9/16,0.21978022
Daily,3/23/16,0.219178082
Daily,12/5/16,0.385542169
Daily,9/21/15,0.272727273
Daily,10/2/15,0.068965517
Daily,11/3/16,0.105263158
Daily,5/28/16,0.227272727
Daily,11/6/15,0.285714286
Daily,4/28/16,0.128571429
Daily,1/20/16,0
Daily,12/21/15,0.204081633
Daily,10/9/16,0.273631841
Daily,8/11/15,0.133333333
Daily,3/16/16,0.090909091
Daily,9/4/16,0.083333333
Daily,9/28/15,0.111111111
Daily,2/16/16,0.166666667
Daily,1/12/17,0.243055556
Daily,8/4/16,0.190082645
Daily,4/7/16,0.2
Daily,1/13/16,0.209302326
Daily,7/25/16,0.150684932
Daily,12/18/15,0.25
Daily,8/16/15,0
Daily,6/7/16,0.183206107
Daily,3/25/16,0.431372549
Daily,9/13/16,0.151162791
Daily,5/18/16,0.285714286
Daily,8/15/16,0.236842105
Daily,4/14/16,0.203125
Daily,1/2/16,0.166666667
Daily,7/18/16,0.081871345
Daily,12/27/15,0.461538462
Daily,8/25/15,0.382978723
Daily,6/30/16,0.0875
Daily,7/8/15,0.259259259
Daily,3/2/16,0.102739726
Daily,9/18/16,0.113636364
Daily,2/6/16,0.105263158
Daily,12/28/16,0.325
Daily,8/22/16,0.146341463
Daily,10/27/15,0.135135135
Daily,11/28/16,0.426356589
Daily,11/29/15,0.333333333
Daily,8/30/15,0.166666667
Daily,6/21/16,0.260504202
Daily,7/15/15,0.032258065
Daily,3/11/16,0.129032258
Daily,9/27/16,0.168181818
Daily,2/13/16,0.259259259
Daily,12/23/16,0.416666667
Daily,8/17/16,0.111940299
Daily,9/7/15,0
Daily,10/20/15,0.125
Daily,11/21/16,0.260115607
Daily,11/20/15,0.422222222
Daily,12/9/15,0.298076923
Daily,7/6/15,0.166666667
Daily,10/31/16,0.057142857
Daily,12/14/16,0.191860465
Daily,8/24/16,0.023255814
Daily,9/14/15,0.12195122
Daily,10/13/15,0.368421053
Daily,11/14/16,0.142335766
Daily,5/11/16,0.233082707
Daily,11/19/15,0.235294118
Daily,4/17/16,0.125
Daily,1/27/16,0.421686747
Daily,1/10/17,0.261484099
Daily,7/11/16,0.090909091
Daily,7/29/15,0.233333333
Daily,10/22/16,0.057692308
Daily,12/1/16,0.160220994
Daily,9/9/15,0.069767442
Daily,10/6/15,0.266666667
Daily,11/7/16,0.136986301
Daily,11/10/15,0.259259259
Daily,4/24/16,0.214285714
Daily,1/16/16,0.470588235
Daily,7/12/16,0.164556962
Daily,7/20/15,0.152173913
Daily,10/13/16,0.203045685
Daily,8/7/15,0.271428571
Daily,6/12/16,0.435897436
Daily,3/20/16,0.1
Daily,9/16/15,0.102564103
Daily,2/20/16,0.181818182
Daily,5/25/16,0.191489362
Daily,11/1/15,0
Daily,4/3/16,0.210526316
Daily,1/9/16,0.142857143
Daily,7/5/16,0.514285714
Daily,12/22/15,0.222222222
Daily,10/4/16,0.178861789
Daily,8/12/15,0.157894737
Daily,6/3/16,0.233009709
Daily,3/29/16,0.328947368
Daily,1/5/17,0.357446809
Daily,9/9/16,0.145833333
Daily,9/27/15,0.055555556
Daily,2/19/16,0.142857143
Daily,5/22/16,0.135135135
Daily,8/3/16,0.15625
Daily,4/10/16,0.256410256
Daily,1/14/16,0.037037037
Daily,7/30/16,0.342105263
Daily,12/31/15,0.055555556
Daily,10/3/16,0.17699115
Daily,8/21/15,0.25
Daily,6/26/16,0.216216216
Daily,3/6/16,0.069767442
Daily,9/14/16,0.165137615
Daily,2/26/16,0.26056338
Daily,12/24/16,0.379310345
Daily,8/10/16,0.208333333
Daily,10/31/15,0
Daily,4/13/16,0.214285714
Daily,1/7/16,0.268292683
Daily,7/23/16,0.230769231
Daily,12/4/15,0.121212121
Daily,8/26/15,0.205128205
Daily,1/15/17,0.348484848
Daily,6/17/16,0.228571429
Daily,7/11/15,0.125
Daily,3/15/16,0.085106383
Daily,9/23/16,0.163461538
Daily,2/1/16,0.129411765
Daily,12/19/16,0.227272727
Daily,8/21/16,0.042553191
Daily,10/24/15,0.1
Daily,11/25/16,0.256410256
Daily,1/16/17,0.4375
Daily,11/24/15,0.25
Daily,12/13/15,0.225806452
Daily,7/2/15,0.117647059
Daily,3/8/16,0.081818182
Daily,9/28/16,0.155555556
Daily,2/8/16,0.040816327
Daily,12/10/16,0.192982456
Daily,8/28/16,0.371428571
Daily,9/2/15,0.230769231
Daily,10/17/15,0.666666667
Daily,11/18/16,0.189516129
Daily,5/15/16,0.184210526
Daily,11/23/15,0.425531915
Daily,12/10/15,0.242424242
Daily,7/25/15,0.071428571
Daily,10/26/16,0.175257732
Daily,12/13/16,0.264248705
Daily,9/13/15,0.333333333
Daily,10/10/15,0.2
Daily,11/11/16,0.165625
Daily,5/4/16,0.198717949
Daily,11/14/15,0.272727273
Daily,4/20/16,0.133333333
Daily,1/28/16,0.228571429
Daily,7/8/16,0.428571429
Daily,7/16/15,0.176470588
Daily,10/17/16,0.274074074
Daily,8/3/15,0.133333333
Daily,6/8/16,0.14
Daily,12/4/16,0.407894737
Daily,9/20/15,0.2
Daily,10/3/15,0
Daily,11/4/16,0.165137615
Daily,5/29/16,0.1875
Daily,11/5/15,0.024390244
Daily,1/21/16,0.142857143
Daily,7/1/16,0.119402985
Daily,7/23/15,0.095238095
Daily,10/8/16,0.296703297
Daily,8/8/15,0.576923077
Daily,5/21/16,0.083333333
Daily,6/15/16,0.216981132
Daily,3/17/16,0.069444444
Daily,9/5/16,0.2
Daily,2/23/16,0.050847458
Daily,5/26/16,0.226086957
Daily,8/7/16,0.181818182
Daily,4/6/16,0.072463768
Daily,1/10/16,0.1
Daily,7/26/16,0.3
Daily,12/19/15,0.2
Daily,10/7/16,0.185185185
Daily,8/17/15,0.136363636
Daily,6/6/16,0.204081633
Daily,3/26/16,0.5
Daily,9/10/16,0.325
Daily,5/19/16,0.233766234
Daily,8/14/16,0.365853659
Daily,4/9/16,0.24137931
Daily,1/3/16,0.2
Daily,7/19/16,0.170886076
Daily,12/24/15,0.285714286
Daily,8/22/15,0.333333333
Daily,6/29/16,0.24137931
Daily,3/3/16,0.167597765
Daily,9/19/16,0.14893617
Daily,2/5/16,0.146341463
Daily,12/31/16,0.421052632
Daily,8/9/16,0.188679245
Daily,10/28/15,0.204081633
Daily,11/29/16,0.384180791
Daily,11/28/15,0.285714286
Daily,7/20/16,0.225433526
Daily,12/1/15,0.153846154
Daily,8/31/15,0.074074074
Daily,6/20/16,0.25
Daily,7/14/15,0.133333333
Daily,3/12/16,0.245614035
Daily,9/24/16,0.333333333
Daily,2/12/16,0.210526316
Daily,12/22/16,0.317647059
Daily,8/16/16,0.113636364
Daily,9/6/15,0.3
Daily,10/21/15,0.121212121
Daily,11/22/16,0.305389222
Daily,11/27/15,0.4375
Daily,12/14/15,0.326530612
Daily,7/5/15,0.285714286
Daily,10/30/16,0.25
Daily,1/1/17,0.575757576
Daily,2/11/16,0.071428571
